model,series_idx,fold_id,decile,MAE,RMSE,MAPE,sMAPE,MASE,WAPE
MLP,94,2,6,3069.6984125,3414.3963593256885,34.59649244485657,31.557787904993674,3.265710974364685,28.796512916561728
MLP,95,2,8,481.4250217013889,506.2639234477944,5.04306471900238,5.187074326865531,1.5605750639149731,5.064966035785259
MLP,96,2,1,53.432164474826386,66.33940331018125,4.0893144546194,4.019204940674846,0.5120975154849926,4.022656527745247
MLP,97,2,1,142.10942557725696,173.28919844302803,10.691501597042555,11.557724675899953,0.6582339250488943,11.211080527700638
MLP,98,2,4,430.02536782552085,457.2641624159451,13.017104814432074,14.033805213706627,2.046459941365958,13.19720940187577
MLP,99,2,5,855.3821072048611,992.8028480006975,10.787857915871443,11.620518463963208,1.0525432973185094,10.999341284245965
MLP,100,2,2,538.1094907769096,655.154749607941,15.687451452293791,17.70443250509814,2.902157402740552,16.468498875118524
MLP,101,2,9,710.5753580729166,724.4090488251175,7.267269712411747,7.262287067097699,8.492349220735456,7.156525150826979
MLP,102,2,9,156.94287109375,203.56104613967153,1.5161097804048957,1.532904016362965,1.165815384661565,1.535769757094512
MLP,103,2,3,202.92689751519097,250.0168255720657,10.184355822199272,11.009993918851654,0.8134509862485757,10.711589502947007
MLP,104,2,7,1752.4739257812498,2004.775796529933,17.675762163187596,19.874220154239826,1.5295331406555825,18.534879916083547
MLP,105,2,9,436.76209852430554,471.71807589097216,4.531425130999722,4.653603073095799,1.3619463287317055,4.562807761716483
MLP,106,2,3,409.14032023111974,445.7742688398519,63.89191473017883,46.01334841433966,1.2528747587149471,59.0842653977787
MLP,107,2,7,2074.703179253472,2242.1586103685313,17.27491202023306,19.180884470677473,2.8810722521157555,17.598801709030397
MLP,108,2,9,340.14203559027777,405.3754704763117,3.3586526810931625,3.31840658006299,0.628207809968033,3.321663523955361
MLP,109,2,2,233.0216341688368,247.13647218225066,10.433957752079687,11.07832395228642,2.233266519946619,10.535996076369141
MLP,110,2,7,6058.887272135416,7029.274285642438,30.90518830604759,38.2026441387689,5.240161020804275,33.65806437328349
MLP,111,2,5,1117.8059000651044,1152.7156396855282,25.395479820914456,29.306950296139618,1.5030358459833497,25.644399638759392
MLP,112,2,9,624.5958116319445,661.8673957423904,6.702343220440506,6.9622886060012155,1.4420826031866876,6.750360017637346
MLP,113,2,9,102.30653211805556,117.20134037825979,1.0314162297382947,1.0351228064347073,0.32307325932017544,1.0351419775857222
MLP,114,2,4,179.64607671440973,205.36335535213087,5.383148695531837,5.477071057789384,0.5742669866442599,5.434203521507628
MLP,115,2,1,31.52063666449653,36.85251517262112,2.010575474243156,2.01422959547614,0.1743969651519275,2.0076838639806707
MLP,116,2,9,382.90147569444446,415.7308715081869,3.925811154109403,4.017700248107143,4.6885894982993195,3.953778431906838
MLP,117,2,8,887.9401584201389,1222.6887234425249,8.768340690465969,9.49679814232062,4.213296633899759,9.450137381266666
MLP,118,2,7,1051.288357204861,1081.9901304584944,10.51288357204861,11.134795330350201,2.0020595192369957,10.51288357204861
MLP,119,2,5,398.20598415798605,456.4633655808783,6.355954061215476,6.098025290327777,0.37488817131466534,6.239424809901093
MLP,120,2,8,776.63525390625,837.0064580195179,7.573919284327532,7.919328485663657,2.5428473021787914,7.646556487426157
MLP,121,2,8,910.4167209201389,958.1122642394215,8.841777689220834,9.291888817909664,1.7919967131233503,8.920795305695426
MLP,122,2,8,295.0447591145833,308.53994243010396,3.2553189523955264,3.313973463681626,0.7704905911141753,3.2651740941054412
MLP,123,2,0,21.62047466362848,26.384999653843828,2.001932047342833,2.0100107885716296,0.4498918779562693,1.9989301055774793
MLP,124,2,6,1684.864279513889,1847.1292115086599,22.610940270605585,19.773149276756207,1.1860653058492083,21.352788042073946
MLP,125,2,0,309.1661650086805,336.78782792811006,14.671533091886033,16.034450749953276,2.751722659411354,14.99734483546078
MLP,126,2,8,329.7368164062502,376.7606820404909,3.2343061523789283,3.2845833200679575,0.3226069869239073,3.2452601043207907
MLP,127,2,6,431.2561306423611,448.3423607379147,5.145549350245033,5.292348758037491,1.076593496869022,5.157880632267442
MLP,128,2,6,1910.8568033854167,2131.310044512817,19.065453863115195,21.52479362517706,2.966089326913728,19.71017739855071
MLP,129,2,2,236.89951616753467,269.83669277535813,11.00478389228127,11.784682364177572,1.4019622264388616,11.377428597206308
MLP,130,2,4,293.6493639756945,318.0465768754517,8.269879105837706,8.686473808599422,2.3866646988606073,8.359211130524937
MLP,131,2,7,2433.172797309028,2667.0185553691877,25.691763902484293,30.21574391777804,1.9080145161870645,26.869392853719326
MLP,132,2,1,13.578009711371529,15.093358679698127,1.199308134577144,1.1995354441533375,0.27093734974525757,1.199824127661696
MLP,133,2,7,596.8605143229166,625.8128759438331,6.586493127221677,6.832187785658871,2.271516393092465,6.61911728039708
MLP,134,2,2,160.10068923611107,178.11544976819687,6.524473256996669,6.795022827027491,1.2131463063007035,6.630382034374119
MLP,135,2,2,471.08295818142363,491.02187749470244,20.945378495146116,23.505060563469865,1.112373738650022,21.318638575007473
MLP,136,2,9,97.23811848958333,116.06881151811262,0.9807903823966383,0.9819753380749984,0.33056018578630414,0.9828430026349925
MLP,137,2,9,148.71693793402775,203.01299646173047,2.059304203335405,2.0657956040812455,0.08228149085750071,2.0734564770223116
MLP,138,2,6,208.35405815972223,259.4048231766507,2.377022974759708,2.4119235564407226,0.4229737677321162,2.3719724289585864
MLP,139,2,0,22.42864990234375,24.610518426116148,2.14921070991655,2.1772976820368055,0.8247221223600618,2.156140238422279
MLP,140,2,6,712.0273166232639,785.7288517975652,8.23553515999816,8.665042635413608,1.6930327843402104,8.332894489954064
MLP,141,2,4,1323.275288845486,1661.3794185522736,28.27081549324644,34.33484895022488,1.882467632838437,32.0062529675025
MLP,142,2,5,447.7007747395833,490.13983452136614,8.256468576244117,8.680454225827335,1.831523982161729,8.373580307056203
MLP,143,2,9,120.1455078125,151.09951592250087,1.1910511677758948,1.2023096247054479,0.27193738550823626,1.1992098907184883
MLP,144,2,8,487.1678059895833,619.7036157655158,4.86267451221366,5.054150314138664,1.2244286904837136,5.034458897584396
MLP,145,2,3,418.55116475520833,443.15733458438507,13.377308588041503,14.451362381141116,3.1006945871312452,13.513543324791089
MLP,146,2,7,1224.4827473958333,1360.4236438481169,11.328910142668974,12.17070737305058,2.8649804086069763,11.513045509125527
MLP,147,2,9,1137.8565755208333,1307.175782849769,9.212476555261789,9.792799441225382,1.7990206521151961,9.411612040227718
MLP,148,2,6,506.455322265625,634.8139060728286,9.129637244461446,9.797508667796299,0.545996940708846,9.540509982241439
MLP,149,2,6,372.25345219105833,487.76736494965206,5.9237847218927335,5.951208805159742,0.9545809287755277,6.023412698121748
MLP,150,2,0,28.861944580078134,30.140867908722274,2.763832841571729,2.8059444542630487,1.9040570588375179,2.772491501005467
MLP,151,2,7,34.876437717013886,39.67651490748809,0.6252906892454936,0.6258709052651489,0.13641163881250978,0.6260479864636104
MLP,152,2,3,637.9865456814235,722.4637441224464,27.017483299980803,32.18363920880812,1.4474473546428726,28.877185441672896
MLP,153,2,4,24.719156901041668,29.870586208096007,1.0693435235656459,1.063265664157658,0.26294455352329904,1.0662468828630483
MLP,154,2,0,18.79393853081597,22.686854008343015,1.6515345754491588,1.6705882680634319,0.39055081473754055,1.6650632158029606
MLP,155,2,6,167.29739040798611,173.26547377236304,2.865347394014968,2.9099392563188577,2.088034400830268,2.871236677482599
MLP,156,2,8,848.857421875,1019.6193840912792,7.493226017339251,7.894705857893147,1.5865226574980034,7.772628748473903
MLP,157,2,1,197.98437473958333,213.82798208047717,7.100779634804934,7.405498734298012,1.9015067821543477,7.186231673809196
MLP,158,2,5,94.49319118923611,100.87381527999534,1.9210919424570898,1.94225321872296,1.0542097520431783,1.9275582971512353
MLP,159,2,6,1377.7677680121528,1472.8165205443197,16.072534793861905,17.665183386217443,1.927031812461441,16.37000427353865
MLP,160,2,0,20.40407986111111,25.000869576126107,1.8991742611532354,1.925787790676356,0.28222340002195506,1.9177267446414121
MLP,161,2,0,87.38152262369792,116.48540598342173,7.270379604992569,7.756568202664786,1.080609548951673,7.649054400043585
